"country","budget","year","value"
"India","agriculture",2006,30.0149
"South Africa","agriculture",2006,24.6841
"Germany","education",2006,1284.5565
"United States of America","education",2006,381.9606
"India","education",2006,18.514
"South Africa","education",2006,156.2715
"Germany","health",2006,2100.9656
"United States of America","health",2006,814.7764
"India","health",2006,8.446
"South Africa","health",2006,84.1547
"Germany","defense",2006,319.9718
"United States of America","defense",2006,1682.2585
"India","defense",2006,63.5177
"South Africa","defense",2006,131.0802
"Germany","transport and communication",2006,506.4619
"United States of America","transport and communication",2006,226.4516
"India","transport and communication",2006,16.4575
"South Africa","transport and communication",2006,80.7917
"Germany","social protection",2006,6512.4575
"United States of America","social protection",2006,4193.1948
"India","social protection",2006,5.2578
"South Africa","social protection",2006,3.7249
"Germany","mining",2006,85.1427
"United States of America","mining",2006,0
"India","mining",2006,1.3429
"South Africa","mining",2006,339.4347
"Germany","other",2006,24.1497
"United States of America","other",2006,13.7506
"India","other",2006,71.0052
"South Africa","other",2006,68.3062
"Germany","agriculture",2007,73.6495
"United States of America","agriculture",2007,54.9473
"India","agriculture",2007,35.0645
"South Africa","agriculture",2007,34.9362
"Germany","education",2007,1294.2816
"United States of America","education",2007,285.1458
"India","education",2007,12.0652
"South Africa","education",2007,161.1257
"Germany","health",2007,2146.3955
"United States of America","health",2007,828.7261
"India","health",2007,10.2582
"South Africa","health",2007,88.9754
"Germany","defense",2007,319.3735
"United States of America","defense",2007,1715.0283
"India","defense",2007,63.5229
"South Africa","defense",2007,126.4788
"Germany","transport and communication",2007,512.4326
"United States of America","transport and communication",2007,226.8106
"India","transport and communication",2007,17.4799
"South Africa","transport and communication",2007,125.0957
"Germany","social protection",2007,6366.0791
"United States of America","social protection",2007,4356.5596
"India","social protection",2007,7.2775
"South Africa","social protection",2007,3.6041
"Germany","mining",2007,83.2618
"United States of America","mining",2007,0
"India","mining",2007,1.3407
"South Africa","mining",2007,337.4999
"Germany","other",2007,24.2553
"United States of America","other",2007,12.0372
"India","other",2007,71.1191
"South Africa","other",2007,67.2692
"Germany","agriculture",2008,73.3933
"United States of America","agriculture",2008,55.5816
"India","agriculture",2008,62.9616
"South Africa","agriculture",2008,27.4938
"Germany","education",2008,1323.3691
"United States of America","education",2008,275.9489
"India","education",2008,14.8489
"South Africa","education",2008,85.4201
"Germany","health",2008,2217.9597
"United States of America","health",2008,848.2149
"India","health",2008,11.658
"South Africa","health",2008,51.6043
"Germany","defense",2008,331.8186
"United States of America","defense",2008,1862.3101
"India","defense",2008,71.8521
"South Africa","defense",2008,126.5355
"Germany","transport and communication",2008,527.0853
"United States of America","transport and communication",2008,234.6232
"India","transport and communication",2008,17.9454
"South Africa","transport and communication",2008,177.1107
"Germany","social protection",2008,6421.8481
"United States of America","social protection",2008,4606.1045
"United States of America","mining",2008,0
"South Africa","social protection",2008,3.497
"Germany","mining",2008,90.496
"United States of America","mining",2009,0
"India","mining",2008,1.9194
"South Africa","mining",2008,346.3484
"Germany","other",2008,24.8923
"United States of America","other",2008,12.5675
"India","other",2008,70.6768
"South Africa","other",2008,71.7391
"Germany","agriculture",2009,71.5082
"United States of America","agriculture",2009,66.0952
"India","agriculture",2009,48.8129
"South Africa","agriculture",2009,16.6212
"Germany","education",2009,1392.4098
"United States of America","education",2009,237.0385
"India","education",2009,15.5753
"South Africa","education",2009,86.7795
"Germany","health",2009,2325.7524
"United States of America","health",2009,993.7464
"India","health",2009,11.714
"South Africa","health",2009,109.6166
"Germany","defense",2009,345.4008
"United States of America","defense",2009,1964.8408
"India","defense",2009,82.9681
"South Africa","defense",2009,131.418
"Germany","transport and communication",2009,546.5845
"United States of America","transport and communication",2009,250.5328
"India","transport and communication",2009,18.628
"South Africa","transport and communication",2009,129.9146
"Germany","social protection",2009,6722.9756
"United States of America","social protection",2009,5176.8945
"United States of America","mining",2010,0
"South Africa","social protection",2009,3.5822
"Germany","mining",2009,86.8505
"United States of America","mining",2011,0
"India","mining",2009,2.2241
"South Africa","mining",2009,357.9445
"Germany","other",2009,24.6373
"United States of America","other",2009,16.8949
"India","other",2009,71.621
"South Africa","other",2009,73.3355
"Germany","agriculture",2010,75.2835
"United States of America","agriculture",2010,62.164
"India","agriculture",2010,42.9436
"South Africa","agriculture",2010,14.786
"Germany","education",2010,1463.8613
"United States of America","education",2010,371.744
"India","education",2010,19.3496
"South Africa","education",2010,91.2054
"Germany","health",2010,2369.5129
"United States of America","health",2010,1074.259
"India","health",2010,13.7269
"South Africa","health",2010,121.5232
"Germany","defense",2010,347.1775
"United States of America","defense",2010,2018.9215
"India","defense",2010,78.2316
"South Africa","defense",2010,116.8941
"Germany","transport and communication",2010,548.6834
"United States of America","transport and communication",2010,267.7162
"India","transport and communication",2010,18.9402
"South Africa","transport and communication",2010,117.4288
"Germany","social protection",2010,6765.8604
"United States of America","social protection",2010,5498.4907
"United States of America","mining",2012,0
"South Africa","social protection",2010,3.8195
"Germany","mining",2010,79.1205
"India","social protection",2008,7.2775
"India","mining",2010,3.3202
"South Africa","mining",2010,361.0648
"Germany","other",2010,26.0223
"United States of America","other",2010,7.6259
"India","other",2010,74.2888
"South Africa","other",2010,73.2593
"Germany","agriculture",2011,76.836
"United States of America","agriculture",2011,58.4835
"India","agriculture",2011,43.8479
"South Africa","agriculture",2011,17.9012
"Germany","education",2011,1488.0267
"United States of America","education",2011,286.5526
"India","education",2011,20.9942
"South Africa","education",2011,151.2055
"Germany","health",2011,2392.9114
"United States of America","health",2011,1054.4075
"India","health",2011,11.6334
"South Africa","health",2011,92.3987
"Germany","defense",2011,345.1234
"United States of America","defense",2011,1997.359
"India","defense",2011,73.3594
"South Africa","defense",2011,123.87
"Germany","transport and communication",2011,552.6432
"United States of America","transport and communication",2011,263.1489
"India","transport and communication",2011,20.2717
"South Africa","transport and communication",2011,156.7002
"Germany","social protection",2011,6750.3076
"United States of America","social protection",2011,5494.2549
"India","social protection",2009,7.2775
"South Africa","social protection",2011,376.0695
"Germany","mining",2011,77.3596
"India","social protection",2010,7.2775
"India","mining",2011,4.2138
"South Africa","mining",2011,3.7469
"Germany","other",2011,24.0236
"United States of America","other",2011,10.2433
"India","other",2011,74.1264
"South Africa","other",2011,71.315
"Germany","agriculture",2012,71.4196
"United States of America","agriculture",2012,49.09
"India","agriculture",2012,43.8479
"South Africa","agriculture",2012,19.6613
"Germany","education",2012,1492.9663
"United States of America","education",2012,250.6045
"India","education",2012,20.9942
"South Africa","education",2012,162.2411
"Germany","health",2012,2415.6091
"United States of America","health",2012,956.7521
"India","health",2012,11.6334
"South Africa","health",2012,93.447
"Germany","defense",2012,344.468
"United States of America","defense",2012,1870.3826
"India","defense",2012,73.3594
"South Africa","defense",2012,127.1404
"Germany","transport and communication",2012,554.3089
"United States of America","transport and communication",2012,249.8458
"India","transport and communication",2012,20.2717
"South Africa","transport and communication",2012,137.4773
"Germany","social protection",2012,6694.6748
"United States of America","social protection",2012,5273.0112
"India","social protection",2011,7.2775
"South Africa","social protection",2012,352.1901
"Germany","mining",2012,84.5928
"India","social protection",2012,7.2775
"India","mining",2012,4.2138
"South Africa","mining",2012,3.9645
"Germany","other",2012,24.0129
"United States of America","other",2012,11.3749
"India","other",2012,74.1264
"South Africa","other",2012,72.7387
